"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB"
"272","1DY11","17",2,"2011-05-22 9:19","1DY11 17 2 60BON 1",9.77426,13.57537,2011,5,59.3415,-170.64333,142,147.32568,72,"1DY11_59.3415_-170.64333_2011-05-22 9:19_333",2,208,"5/22/2011",232110
"273","1DY09","18",1,"2009-03-02 22:14","1DY09 18 1 60BON 1",0,0,2009,3,54.78617,-167.20284,61,610.52637,411,"1DY09_54.78617_-167.20284_2009-03-02 22:14_505",0,311,"3/2/2009",225280
"275","1HE07","212",2,"2007-05-11 2:05","1HE07 212 2 60BON 1",9.47475,11.55457,2007,5,59.4265,-165.31067,131,86.54583,85,"1HE07_59.4265_-165.31067_2007-05-11 2:05_333",1,446,"5/11/2007",234261
"276","1HE07","29",4,"2007-04-14 8:33","1HE07 29 4 60BON 1",0,0,2007,4,57.85567,-168.931,104,141.98175,71,"1HE07_57.85567_-168.931_2007-04-14 8:33_333",0,446,"4/14/2007",234261
"277","1HE07","55",2,"2007-04-17 1:37","1HE07 55 2 60BON 2",0,0,2007,4,60.42933,-173.59599,107,104.3999,65,"1HE07_60.42933_-173.59599_2007-04-17 1:37_333",0,446,"4/17/2007",234261
"278","1HE07","207",2,"2007-05-10 10:24","1HE07 207 2 60BON 1",0,0,2007,5,57.3285,-166.31567,130,102.0789,70,"1HE07_57.3285_-166.31567_2007-05-10 10:24_333",0,446,"5/10/2007",234261
"291","1TT06","8",2,"2006-04-17 5:36","1TT06 8 2 60BON 1",4.73308,8.76495,2006,4,57.349,-164.24899,107,114.09073,66,"1TT06_57.349_-164.24899_2006-04-17 5:36_333",1,442,"4/17/2006",242629
"292","1OM06","8",1,"2006-06-23 3:47","1OM06 8 1 60BON 1",209.18134,348.63557,2006,6,57.4985,-166.98767,174,91.78639,70,"1OM06_57.4985_-166.98767_2006-06-23 3:47_505",32,442,"6/23/2006",242629
"293","1TT06","110",2,"2006-05-09 23:47","1TT06 110 2 60BON 1",0,0,2006,5,56.17017,-168.99333,129,447.82025,260,"1TT06_56.17017_-168.99333_2006-05-09 23:47_333",0,442,"5/9/2006",242629
"297","3TT05","100",2,"2005-05-24 20:18","3TT05 100 2 60BON 1",66.55833,110.93055,2005,5,57.62733,-168.817,144,99.16114,71,"3TT05_57.62733_-168.817_2005-05-24 20:18_333",11,283,"5/24/2005",249168
