"","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date"
"1308","3MF02","55",2,"5/18/2002 7:15:00","3MF02 55 2 60BON 1",0,0,2002,5,55.71217,-165.71516,138,170.55495,120,"3MF02_55.71217_-165.71516_5/18/2002 7:15:00_505",0,150,"5/18/2002"
"1309","1OM06","12",2,"6/23/2006 21:45:00","1OM06 12 2 60BON 1",0,0,2006,6,56.99917,-169.002,174,98.56261,70,"1OM06_56.99917_-169.002_6/23/2006 21:45:00_505",0,267,"6/23/2006"
"1310","1OM06","13",2,"6/24/2006 1:00:00","1OM06 13 2 60BON 1",0,0,2006,6,56.91667,-170.00034,175,112.882,69,"1OM06_56.91667_-170.00034_6/24/2006 1:00:00_505",0,267,"6/24/2006"
"1311","1OM06","14",2,"6/24/2006 4:52:00","1OM06 14 2 60BON 1",0,0,2006,6,56.39717,-169.98734,175,185.03923,106,"1OM06_56.39717_-169.98734_6/24/2006 4:52:00_505",0,267,"6/24/2006"
"1312","1OM06","17",1,"6/24/2006 16:58:00","1OM06 17 1 60BON 1",0,0,2006,6,56.499,-166.998,175,158.61397,106,"1OM06_56.499_-166.998_6/24/2006 16:58:00_505",0,267,"6/24/2006"
"1313","1OM06","18",2,"6/24/2006 22:22:00","1OM06 18 2 60BON 1",0,0,2006,6,56.00067,-167.00734,175,100.55969,132,"1OM06_56.00067_-167.00734_6/24/2006 22:22:00_505",0,267,"6/24/2006"
"1317","3DY09","81",2,"5/17/2009 4:02:00","3DY09 81 2 60BON 1",11.97026,4.27509,2009,5,55.10266,-167.61566,137,467.82593,283,"3DY09_55.10266_-167.61566_5/17/2009 4:02:00_505",2,189,"5/17/2009"
"1318","3MF06","33",2,"5/13/2006 9:52:00","3MF06 33 2 60BON 1",0,0,2006,5,54.37683,-165.2715,133,281.36212,165,"3MF06_54.37683_-165.2715_5/13/2006 9:52:00_505",0,267,"5/13/2006"
"1319","3MF06","38",2,"5/14/2006 0:53:00","3MF06 38 2 60BON 1",17.77501,15.87054,2006,5,55.36883,-165.89,134,189.02948,122,"3MF06_55.36883_-165.89_5/14/2006 0:53:00_505",3,267,"5/14/2006"
"1320","3MF79","G026A",2,"6/17/1979 9:07:00","3MF79 G026A 2 60BON 1",0,0,1979,6,54.43,-169.92171,168,305.79132,3000,"3MF79_54.43_-169.92171_6/17/1979 9:07:00_505",0,85,"6/17/1979"
"1322","3MF79","G038A",2,"6/21/1979 6:55:00","3MF79 G038A 2 60BON 1",0,0,1979,6,56.07167,-167.6683,172,182.29367,130,"3MF79_56.07167_-167.6683_6/21/1979 6:55:00_505",0,85,"6/21/1979"
"1323","4MF03","1",3,"5/18/2003 2:00:00","4MF03 1 3 60BON 1",11.63857,10.58052,2003,5,54.00933,-166.58833,138,189.02663,119,"4MF03_54.00933_-166.58833_5/18/2003 2:00:00_505",2,88,"5/18/2003"
"1324","4MF03","14",3,"5/19/2003 4:48:00","4MF03 14 3 60BON 1",6.99883,5.30215,2003,5,54.71167,-165.27049,139,565.80853,139,"4MF03_54.71167_-165.27049_5/19/2003 4:48:00_505",3,88,"5/19/2003"
"1325","3MF93","28",1,"4/18/1993 9:43:00","3MF93 28 1 60BON 1",0,0,1993,4,55.32167,-167.84171,108,243.08798,216,"3MF93_55.32167_-167.84171_4/18/1993 9:43:00_333",0,119,"4/18/1993"
"1326","DY14-06","63",1,"5/25/2014 14:47:00","DY14-06 63 1 60BON 2",0,0,2014,5,56.546,-163.0267,145,120.28207,79,"DY14-06_56.546_-163.0267_5/25/2014 14:47:00_505",0,301,"5/25/2014"
"1327","1AR08","6",1,"6/9/2008 3:03:00","1AR08 6 1 60BON 1",0,0,2008,6,56.9,-163.03334,160,72.45083,60,"1AR08_56.9_-163.03334_6/9/2008 3:03:00_333",0,231,"6/9/2008"
"1328","1AR09","4",2,"6/12/2009 2:48:00","1AR09 4 2 60BON 1",0,0,2009,6,56.96867,-164.7085,163,95.13462,66,"1AR09_56.96867_-164.7085_6/12/2009 2:48:00_333",0,189,"6/12/2009"
"1329","3MF93","112",1,"4/29/1993 19:55:00","3MF93 112 1 60BON 1",0,0,1993,4,54.30167,-166.33,119,461.04578,997,"3MF93_54.30167_-166.33_4/29/1993 19:55:00_333",0,119,"4/29/1993"
"1331","3MF93","62",1,"4/21/1993 18:48:00","3MF93 62 1 60BON 1",0,0,1993,4,54.86,-168.355,111,139.51251,2175,"3MF93_54.86_-168.355_4/21/1993 18:48:00_333",0,119,"4/21/1993"
"1332","6MF97","30",2,"5/7/1997 6:43:00","6MF97 30 2 60BON 1",0,0,1997,5,56.944,-163.82033,127,106.85975,71,"6MF97_56.944_-163.82033_5/7/1997 6:43:00_333",0,132,"5/7/1997"
"1333","2DY10","50",2,"5/11/2010 0:28:00","2DY10 50 2 60BON 2",0,0,2010,5,55.642,-163.16167,131,138.99683,68,"2DY10_55.642_-163.16167_5/11/2010 0:28:00_500",0,240,"5/11/2010"
"1336","2DY09","20",2,"4/30/2009 8:39:00","2DY09 20 2 60BON 1",0,0,2009,4,57.019,-164.21567,120,135.83075,70,"2DY09_57.019_-164.21567_4/30/2009 8:39:00_333",0,189,"4/30/2009"
"1337","3MF02","32",2,"5/15/2002 22:02:00","3MF02 32 2 60BON 1",0,0,2002,5,54.926,-165.48117,135,155.42502,129,"3MF02_54.926_-165.48117_5/15/2002 22:02:00_505",0,150,"5/15/2002"
