"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","reg.SST"
"67",226,"3MF79","V010A",2,"1979-06-04 15:30","3MF79 V010A 2 60BON 1",0,0,1979,6,57.05,-165.0217,155,96.8346,68,"3MF79_57.05_-165.0217_1979-06-04 15:30_505",0,126,"6/4/1979",227682,2.50750054666484
"68",236,"DY14-06","212",1,"2014-06-05 17:18","DY14-06 212 1 60BON 1",9.99088,10.29987,2014,6,58.2695,-172.2102,156,194.17715,103,"DY14-06_58.2695_-172.2102_2014-06-05 17:18_505",2,521,"6/5/2014",228355,2.35558631629625
"69",237,"DY14-06","89",1,"2014-05-27 7:05","DY14-06 89 1 60BON 1",0,0,2014,5,57.359,-161.2687,147,63.60021,63,"DY14-06_57.359_-161.2687_2014-05-27 7:05_505",0,521,"5/27/2014",228355,2.35558631629625
"70",240,"DY14-06","33",1,"2014-05-23 14:12","DY14-06 33 1 60BON 1",5.41199,6.44285,2014,5,55.2845,-164.3242,143,155.21089,96,"DY14-06_55.2845_-164.3242_2014-05-23 14:12_505",1,521,"5/23/2014",228355,2.35558631629625
"71",241,"DY14-06","98",2,"2014-05-27 21:45","DY14-06 98 2 60BON 1",0,0,2014,5,56.9603,-164.4597,147,142.82665,70,"DY14-06_56.9603_-164.4597_2014-05-27 21:45_505",0,521,"5/27/2014",228355,2.35558631629625
"72",246,"1TT06","9",2,"2006-04-17 9:05","1TT06 9 2 60BON 1",0,0,2006,4,57.17933,-164.24899,107,97.40667,70,"1TT06_57.17933_-164.24899_2006-04-17 9:05_333",0,442,"4/17/2006",242629,2.42155912848945
"73",247,"1TT06","93",2,"2006-05-08 3:11","1TT06 93 2 60BON 1",104.19562,182.79934,2006,5,57.7685,-169.0455,128,92.99815,67,"1TT06_57.7685_-169.0455_2006-05-08 3:11_333",17,442,"5/8/2006",242629,2.42155912848945
"74",249,"DY15-04","22",2,"2015-05-01 8:43","DY15-04 22 2 60BON 1",0,0,2015,5,56.7645,-164.3337,121,121.832,74,"DY15-04_56.7645_-164.3337_2015-05-01 8:43_505",0,160,"5/1/2015",221437,2.87572231122671
"75",250,"DY15-04","25",2,"2015-05-01 14:09","DY15-04 25 2 60BON 2",0,0,2015,5,56.6687,-163.8582,121,135.259,76,"DY15-04_56.6687_-163.8582_2015-05-01 14:09_505",0,160,"5/1/2015",221437,2.87572231122671
"76",254,"4MF03","36",2,"2003-05-21 0:23","4MF03 36 2 60BON 1",8.8793,12.33236,2003,5,56.341,-161.81467,141,243.26242,82,"4MF03_56.341_-161.81467_2003-05-21 0:23_505",3,125,"5/21/2003",255366,2.72487502664359
"77",259,"4MF03","54",2,"2003-05-23 18:00","4MF03 54 2 60BON 1",0,0,2003,5,55.27333,-165.29834,143,180.84491,114,"4MF03_55.27333_-165.29834_2003-05-23 18:00_505",0,125,"5/23/2003",255366,2.72487502664359
"78",260,"1AK10","19",2,"2010-06-26 4:00","1AK10 19 2 60BON 1",0,0,2010,6,56.32033,-169.98167,177,258.95743,106,"1AK10_56.32033_-169.98167_2010-06-26 4:00_333",0,370,"6/26/2010",227957,1.7191427893056
"79",261,"1AK10","20",2,"2010-06-26 19:10","1AK10 20 2 60BON 1",0,0,2010,6,55.98183,-167.61983,177,319.7887,129,"1AK10_55.98183_-167.61983_2010-06-26 19:10_333",0,370,"6/26/2010",227957,1.7191427893056
"80",262,"1AK10","5",2,"2010-06-11 4:29","1AK10 5 2 60BON 1",1162.79577,2768.56136,2010,6,57.99183,-161.532,162,158.20491,52,"1AK10_57.99183_-161.532_2010-06-11 4:29_333",438,370,"6/11/2010",227957,1.7191427893056
"81",267,"1AR08","3",1,"2008-06-06 2:46","1AR08 3 1 60BON 1",46.16632,107.36354,2008,6,57.3,-160.43333,157,83.82734,54,"1AR08_57.3_-160.43333_2008-06-06 2:46_333",9,331,"6/6/2008",227649,1.64111977631312
"82",268,"1AR09","1",2,"2009-06-05 3:40","1AR09 1 2 60BON 2",118.42124,215.31134,2009,6,57.33633,-160.92867,156,153.26643,58,"1AR09_57.33633_-160.92867_2009-06-05 3:40_333",33,311,"6/5/2009",225280,2.01650680783778
"83",269,"1AR09","9",2,"2009-06-17 0:46","1AR09 9 2 60BON 1",5.29049,4.06961,2009,6,55.65367,-166.99783,168,245.72372,132,"1AR09_55.65367_-166.99783_2009-06-17 0:46_333",1,311,"6/17/2009",225280,2.01650680783778
"84",270,"1DY11","5",2,"2011-05-21 11:37","1DY11 5 2 60BON 1",0,0,2011,5,60.09884,-173.31267,141,154.0036,73,"1DY11_60.09884_-173.31267_2011-05-21 11:37_333",0,208,"5/21/2011",232110,2.38919509730641
"85",271,"1DY11","61",2,"2011-05-27 22:56","1DY11 61 2 60BON 1",0,0,2011,5,54.452,-164.97983,147,158.72949,57,"1DY11_54.452_-164.97983_2011-05-27 22:56_333",0,208,"5/27/2011",232110,2.38919509730641
"86",272,"1DY11","17",2,"2011-05-22 9:19","1DY11 17 2 60BON 1",9.77426,13.57537,2011,5,59.3415,-170.64333,142,147.32568,72,"1DY11_59.3415_-170.64333_2011-05-22 9:19_333",2,208,"5/22/2011",232110,2.38919509730641
"87",275,"1HE07","212",2,"2007-05-11 2:05","1HE07 212 2 60BON 1",9.47475,11.55457,2007,5,59.4265,-165.31067,131,86.54583,85,"1HE07_59.4265_-165.31067_2007-05-11 2:05_333",1,446,"5/11/2007",234261,2.04821184732869
"88",276,"1HE07","29",4,"2007-04-14 8:33","1HE07 29 4 60BON 1",0,0,2007,4,57.85567,-168.931,104,141.98175,71,"1HE07_57.85567_-168.931_2007-04-14 8:33_333",0,446,"4/14/2007",234261,2.04821184732869
"89",277,"1HE07","55",2,"2007-04-17 1:37","1HE07 55 2 60BON 2",0,0,2007,4,60.42933,-173.59599,107,104.3999,65,"1HE07_60.42933_-173.59599_2007-04-17 1:37_333",0,446,"4/17/2007",234261,2.04821184732869
"90",278,"1HE07","207",2,"2007-05-10 10:24","1HE07 207 2 60BON 1",0,0,2007,5,57.3285,-166.31567,130,102.0789,70,"1HE07_57.3285_-166.31567_2007-05-10 10:24_333",0,446,"5/10/2007",234261,2.04821184732869
"91",291,"1TT06","8",2,"2006-04-17 5:36","1TT06 8 2 60BON 1",4.73308,8.76495,2006,4,57.349,-164.24899,107,114.09073,66,"1TT06_57.349_-164.24899_2006-04-17 5:36_333",1,442,"4/17/2006",242629,2.42155912848945
"92",292,"1OM06","8",1,"2006-06-23 3:47","1OM06 8 1 60BON 1",209.18134,348.63557,2006,6,57.4985,-166.98767,174,91.78639,70,"1OM06_57.4985_-166.98767_2006-06-23 3:47_505",32,442,"6/23/2006",242629,2.42155912848945
"93",297,"3TT05","100",2,"2005-05-24 20:18","3TT05 100 2 60BON 1",66.55833,110.93055,2005,5,57.62733,-168.817,144,99.16114,71,"3TT05_57.62733_-168.817_2005-05-24 20:18_333",11,283,"5/24/2005",249168,2.72058632295719
"94",299,"1TT06","25",2,"2006-04-21 16:17","1TT06 25 2 60BON 1",99.54225,163.18402,2006,4,57.86967,-169.93716,111,128.68907,74,"1TT06_57.86967_-169.93716_2006-04-21 16:17_333",21,442,"4/21/2006",242629,2.42155912848945
"95",322,"2DY10","18",3,"2010-05-08 4:13","2DY10 18 3 60BON 2",0,0,2010,5,54.32683,-165.41066,128,320.009,149,"2DY10_54.32683_-165.41066_2010-05-08 4:13_500",0,370,"5/8/2010",227957,1.7191427893056
"96",323,"2DY10","21",3,"2010-05-08 9:49","2DY10 21 3 60BON 2",0,0,2010,5,54.46183,-165.01616,128,130.31253,53,"2DY10_54.46183_-165.01616_2010-05-08 9:49_500",0,370,"5/8/2010",227957,1.7191427893056
"97",332,"2DY09","21",2,"2009-04-30 10:50","2DY09 21 2 60BON 2",0,0,2009,4,56.774,-164.32401,120,152.08542,75,"2DY09_56.774_-164.32401_2009-04-30 10:50_333",0,311,"4/30/2009",225280,2.01650680783778
"98",336,"2DY10","71",3,"2010-05-14 16:43","2DY10 71 3 60BON 2",4.51409,7.40014,2010,5,56.96983,-169.91051,134,135.13251,68,"2DY10_56.96983_-169.91051_2010-05-14 16:43_500",1,370,"5/14/2010",227957,1.7191427893056
"99",338,"2DY10","82",3,"2010-05-15 16:06","2DY10 82 3 60BON 2",0,0,2010,5,56.17484,-170.58833,135,217.61765,134,"2DY10_56.17484_-170.58833_2010-05-15 16:06_500",0,370,"5/15/2010",227957,1.7191427893056
"100",346,"3TT05","88",2,"2005-05-24 0:01","3TT05 88 2 60BON 1",1347.25103,2172.98554,2005,5,59.25733,-170.37616,144,42.79826,68,"3TT05_59.25733_-170.37616_2005-05-24 0:01_333",93,283,"5/24/2005",249168,2.72058632295719
"101",348,"3DY09","27",2,"2009-05-12 4:54","3DY09 27 2 60BON 1",110.80969,257.69695,2009,5,57.24,-161.677,132,104.77423,52,"3DY09_57.24_-161.677_2009-05-12 4:54_505",27,311,"5/12/2009",225280,2.01650680783778
"102",350,"5MF00","19",3,"2000-05-07 9:14","5MF00 19 3 60BON 1",0,0,2000,5,57.0485,-170.13817,127,96.04493,64,"5MF00_57.0485_-170.13817_2000-05-07 9:14_333",0,54,"5/7/2000",248451,2.12279342133638
"103",352,"6MF97","63",2,"1997-05-11 8:19","6MF97 63 2 60BON 1",0,0,1997,5,54.422,-165.15134,131,188.20075,141,"6MF97_54.422_-165.15134_1997-05-11 8:19_333",0,132,"5/11/1997",247943,2.37767837076569
"104",355,"7MF95","102",1,"1995-05-13 15:49","7MF95 102 1 60BON 1",0,0,1995,5,54.9255,-165.47231,133,184.46832,125,"7MF95_54.9255_-165.47231_1995-05-13 15:49_333",0,275,"5/13/1995",257129,2.12100473001101
"105",360,"7MF95","40",1,"1995-05-07 17:44","7MF95 40 1 60BON 1",29.24379,45.69343,1995,5,56.96117,-164.4492,127,87.53994,71,"7MF95_56.96117_-164.4492_1995-05-07 17:44_333",4,275,"5/7/1995",257129,2.12100473001101
"106",361,"7MF95","57",1,"1995-05-09 16:14","7MF95 57 1 60BON 1",0,0,1995,5,55.71133,-165.72701,129,141.94722,116,"7MF95_55.71133_-165.72701_1995-05-09 16:14_333",0,275,"5/9/1995",257129,2.12100473001101
