Year,Species,SSB,Source
1998,walleye pollock,3206000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1999,walleye pollock,3230000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2000,walleye pollock,3245000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2001,walleye pollock,3261000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2002,walleye pollock,3064000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2003,walleye pollock,3215000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2004,walleye pollock,3311000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2005,walleye pollock,3039000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2006,walleye pollock,2494000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2007,walleye pollock,2071000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2008,walleye pollock,1546000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2009,walleye pollock,1636000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2010,walleye pollock,1885000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2011,walleye pollock,2296000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2012,walleye pollock,2693000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2013,walleye pollock,3044000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2014,walleye pollock,2978000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2015,walleye pollock,3100000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2016,walleye pollock,3975000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2017,walleye pollock,4495000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2018,walleye pollock,4033000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2019,walleye pollock,3637000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
2020,walleye pollock,2961000,"NPFMC chapter 1: assessment of the walleye pollock stock in the eastern bering sea, December 2020"
1976,yellowfin sole,208115,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1977,yellowfin sole,301983,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1978,yellowfin sole,420333,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1979,yellowfin sole,540734,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1980,yellowfin sole,674926,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1981,yellowfin sole,799029,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1982,yellowfin sole,868826,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1983,yellowfin sole,973478,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1984,yellowfin sole,1056060,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1985,yellowfin sole,1105990,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1986,yellowfin sole,1094120,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1987,yellowfin sole,1089120,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1988,yellowfin sole,1031550,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1989,yellowfin sole,1005360,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1990,yellowfin sole,1016970,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1991,yellowfin sole,1097840,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1992,yellowfin sole,1183890,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1993,yellowfin sole,1229250,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1994,yellowfin sole,1233760,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1995,yellowfin sole,1233100,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1996,yellowfin sole,1164220,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1997,yellowfin sole,1128500,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1998,yellowfin sole,1057830,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
1999,yellowfin sole,1044110,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2000,yellowfin sole,1027120,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2001,yellowfin sole,1019640,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2002,yellowfin sole,1015380,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2003,yellowfin sole,1023540,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2004,yellowfin sole,1056100,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2005,yellowfin sole,1075540,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2006,yellowfin sole,1103030,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2007,yellowfin sole,1114710,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2008,yellowfin sole,1092390,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2009,yellowfin sole,1053950,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2010,yellowfin sole,1030310,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
2011,yellowfin sole,1006290,"NPFMC assessment of the yellowfin sole stock in the bering sea and aleutian islands, December 2020"
