"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link","CTD_time","date_diff"
"23",75,"1BE11",9,1,"2011-08-23 14:50","1BE11 9 1 60BON 2",0,0,2011,8,58.501,-170.02,235,91.59277,71,"1BE11_58.501_-170.02_2011-08-23 14:50_505",0,208,"2011-08-23",232110,"1BE11_9_1",8.18181818181818,31.1418181818182,"2011-08-23","1BE11_9_1","2228",0
"24",77,"2DY12",127,1,"2012-05-26 1:18","2DY12 127 1 60BON 1",0,0,2012,5,56.449,-167.9343,146,308.5219,127,"2DY12_56.449_-167.9343_2012-05-26 1:18_505",0,429,"2012-05-26",234044,"2DY12_127_1",1.55017272727273,31.7308727272727,"2012-05-26","2DY12_127_1","110",0
"25",78,"2DY12",171,1,"2012-05-30 18:51","2DY12 171 1 60BON 1",0,0,2012,5,57.30867,-169.7748,150,114.2898,56,"2DY12_57.30867_-169.7748_2012-05-30 18:51_505",0,429,"2012-05-30",234044,"2DY12_171_1",0.292963636363636,31.6051454545455,"2012-05-30","2DY12_171_1","1847",0
"26",80,"2DY12",42,1,"2012-05-19 20:45","2DY12 42 1 60BON 1",0,0,2012,5,55.069,-164.1228,139,85.9039,34,"2DY12_55.069_-164.1228_2012-05-19 20:45_505",0,429,"2012-05-19",234044,"2DY12_42_1",2.69781818181818,31.6078818181818,"2012-05-19","2DY12_42_1","2042",0
"27",82,"2DY12",180,1,"2012-05-31 9:39","2DY12 180 1 60BON 1",0,0,2012,5,57.97133,-170.4365,151,191.9696,78,"2DY12_57.97133_-170.4365_2012-05-31 9:39_505",0,429,"2012-05-31",234044,"2DY12_180_1",0.156872727272727,31.7904363636364,"2012-05-31","2DY12_180_1","931",0
"28",83,"2DY12",159,2,"2012-05-29 23:30","2DY12 159 2 60BON 1",0,0,2012,5,56.30067,-170.2053,149,214.2942,114,"2DY12_56.30067_-170.2053_2012-05-29 23:30_505",0,429,"2012-05-29",234044,"2DY12_159_2",1.79239090909091,31.8673818181818,"2012-05-29","2DY12_159_2","2324",0
"29",84,"2DY12",186,1,"2012-05-31 18:11","2DY12 186 1 60BON 1",0,0,2012,5,58.06833,-171.0282,151,153.4556,89,"2DY12_58.06833_-171.0282_2012-05-31 18:11_505",0,429,"2012-05-31",234044,"2DY12_186_1",-0.0321181818181818,31.7837727272727,"2012-05-31","2DY12_186_1","1806",0
"30",85,"2DY12",59,1,"2012-05-20 23:30","2DY12 59 1 60BON 1",0,0,2012,5,55.86666,-163.374,140,126.479,90,"2DY12_55.86666_-163.374_2012-05-20 23:30_505",0,429,"2012-05-20",234044,"2DY12_59_1",2.63074545454545,31.8195545454545,"2012-05-20","2DY12_59_1","2325",0
"31",86,"2DY12",80,2,"2012-05-22 16:58","2DY12 80 2 60BON 1",0,0,2012,5,56.66,-162.6413,142,101.169,76,"2DY12_56.66_-162.6413_2012-05-22 16:58_505",0,429,"2012-05-22",234044,"2DY12_80_2",1.40849090909091,31.0771909090909,"2012-05-22","2DY12_80_2","1654",0
"32",87,"2DY12",82,1,"2012-05-22 20:04","2DY12 82 1 60BON 1",0,0,2012,5,56.22333,-162.1983,142,91.2783,78,"2DY12_56.22333_-162.1983_2012-05-22 20:04_505",0,429,"2012-05-22",234044,"2DY12_82_1",2.23538181818182,31.2583,"2012-05-22","2DY12_82_1","1960",0
"33",88,"2DY12",139,1,"2012-05-27 7:35","2DY12 139 1 60BON 1",0,0,2012,5,57.98466,-169.4705,147,149.4875,70,"2DY12_57.98466_-169.4705_2012-05-27 7:35_505",0,429,"2012-05-27",234044,"2DY12_139_1",-0.317809090909091,31.6913909090909,"2012-05-27","2DY12_139_1","730",0
"34",89,"2DY12",140,1,"2012-05-27 9:01","2DY12 140 1 60BON 1",0,0,2012,5,57.86783,-169.8418,147,138.5516,73,"2DY12_57.86783_-169.8418_2012-05-27 9:01_505",0,429,"2012-05-27",234044,"2DY12_140_1",0.319727272727273,31.5584818181818,"2012-05-27","2DY12_140_1","853",0
"35",91,"2DY12",191,1,"2012-06-01 2:17","2DY12 191 1 60BON 1",0,0,2012,6,57.71217,-172.1202,152,233.1387,109,"2DY12_57.71217_-172.1202_2012-06-01 2:17_505",0,429,"2012-06-01",234044,"2DY12_191_1",0.905927272727273,31.5017818181818,"2012-06-01","2DY12_191_1","212",0
"36",92,"DY14-06",170,1,"2014-06-03 2:13","DY14-06 170 1 60BON 1",0,0,2014,6,56.9495,-170.8672,154,159.51708,103,"DY14-06_56.9495_-170.8672_2014-06-03 2:13_505",0,521,"2014-06-03",228355,"DY14-06_170_1",5.28997272727273,32.0735545454545,"2014-06-03","DY14-06_170_1","213",0
"37",93,"DY14-06",103,1,"2014-05-28 5:51","DY14-06 103 1 60BON 1",0,0,2014,5,56.6027,-165.5917,148,146.96837,80,"DY14-06_56.6027_-165.5917_2014-05-28 5:51_505",0,521,"2014-05-28",228355,"DY14-06_103_1",5.33762727272727,31.8067727272727,"2014-05-28","DY14-06_103_1","551",0
"38",94,"DY14-06",121,1,"2014-05-29 9:54","DY14-06 121 1 60BON 1",0,0,2014,5,57.0453,-166.0402,149,140.46822,73,"DY14-06_57.0453_-166.0402_2014-05-29 9:54_505",0,521,"2014-05-29",228355,"DY14-06_121_1",5.39977272727273,32.0626818181818,"2014-05-29","DY14-06_121_1","954",0
"39",95,"DY14-05",47,2,"2014-05-11 6:44","DY14-05 47 2 60BON 1",0,0,2014,5,58.0395,-169.6802,131,118.89627,70,"DY14-05_58.0395_-169.6802_2014-05-11 6:44_505",0,521,"2014-05-11",228355,"DY14-05_47_2",2.73805454545455,32.3281181818182,"2014-05-11","DY14-05_47_2","644",0
"40",96,"DY14-06",172,1,"2014-06-03 5:51","DY14-06 172 1 60BON 1",4.16403,16.01552,2014,6,57.2282,-170.022,154,62.43945,37,"DY14-06_57.2282_-170.022_2014-06-03 5:51_505",1,521,"2014-06-03",228355,"DY14-06_172_1",3.65464545454545,32.1700272727273,"2014-06-03","DY14-06_172_1","551",0
