"","X","CRUISE","STATION","HAUL","GMT_DATE_TIME","HAUL_ID","Cper10m2","Cper1000m3","year","month","lat","lon","doy","vol","bottom_depth","id","count","SS","date","SSB","Link_ID","temperature","salinity","CTD_date","CTD_link"
"55",236,"DY14-06",212,1,"2014-06-05 17:18","DY14-06 212 1 60BON 1",9.99088,10.29987,2014,6,58.2695,-172.2102,156,194.17715,103,"DY14-06_58.2695_-172.2102_2014-06-05 17:18_505",2,521,"6/5/2014",228355,"DY14-06_212_1",4.0128,31.3232818181818,"6/5/2014","DY14-06_212_1"
"56",237,"DY14-06",89,1,"2014-05-27 7:05","DY14-06 89 1 60BON 1",0,0,2014,5,57.359,-161.2687,147,63.60021,63,"DY14-06_57.359_-161.2687_2014-05-27 7:05_505",0,521,"5/27/2014",228355,"DY14-06_89_1",4.82824545454545,31.9498181818182,"5/27/2014","DY14-06_89_1"
"57",240,"DY14-06",33,1,"2014-05-23 14:12","DY14-06 33 1 60BON 1",5.41199,6.44285,2014,5,55.2845,-164.3242,143,155.21089,96,"DY14-06_55.2845_-164.3242_2014-05-23 14:12_505",1,521,"5/23/2014",228355,"DY14-06_33_1",6.35352727272727,31.4739454545455,"5/23/2014","DY14-06_33_1"
"58",241,"DY14-06",98,2,"2014-05-27 21:45","DY14-06 98 2 60BON 1",0,0,2014,5,56.9603,-164.4597,147,142.82665,70,"DY14-06_56.9603_-164.4597_2014-05-27 21:45_505",0,521,"5/27/2014",228355,"DY14-06_98_2",4.9243,32.0718454545455,"5/27/2014","DY14-06_98_2"
"59",246,"1TT06",9,2,"2006-04-17 9:05","1TT06 9 2 60BON 1",0,0,2006,4,57.17933,-164.24899,107,97.40667,70,"1TT06_57.17933_-164.24899_2006-04-17 9:05_333",0,442,"4/17/2006",242629,"1TT06_9_2",0.513027272727273,31.9109272727273,"4/18/2006","1TT06_9_2"
"60",247,"1TT06",93,2,"2006-05-08 3:11","1TT06 93 2 60BON 1",104.19562,182.79934,2006,5,57.7685,-169.0455,128,92.99815,67,"1TT06_57.7685_-169.0455_2006-05-08 3:11_333",17,442,"5/8/2006",242629,"1TT06_93_2",-0.818763636363636,31.7877363636364,"5/8/2006","1TT06_93_2"
"61",249,"DY15-04",22,2,"2015-05-01 8:43","DY15-04 22 2 60BON 1",0,0,2015,5,56.7645,-164.3337,121,121.832,74,"DY15-04_56.7645_-164.3337_2015-05-01 8:43_505",0,160,"5/1/2015",221437,"DY15-04_22_2",3.97283636363636,31.8054,"5/1/2015","DY15-04_22_2"
"62",254,"4MF03",36,2,"2003-05-21 0:23","4MF03 36 2 60BON 1",8.8793,12.33236,2003,5,56.341,-161.81467,141,243.26242,82,"4MF03_56.341_-161.81467_2003-05-21 0:23_505",3,125,"5/21/2003",255366,"4MF03_36_2",4.95533,31.55413,"5/21/2003","4MF03_36_2"
"63",259,"4MF03",54,2,"2003-05-23 18:00","4MF03 54 2 60BON 1",0,0,2003,5,55.27333,-165.29834,143,180.84491,114,"4MF03_55.27333_-165.29834_2003-05-23 18:00_505",0,125,"5/23/2003",255366,"4MF03_54_2",5.54584,31.57464,"5/23/2003","4MF03_54_2"
"65",270,"1DY11",5,2,"2011-05-21 11:37","1DY11 5 2 60BON 1",0,0,2011,5,60.09884,-173.31267,141,154.0036,73,"1DY11_60.09884_-173.31267_2011-05-21 11:37_333",0,208,"5/21/2011",232110,"1DY11_5_2",-0.628054545454545,30.6339909090909,"5/21/2011","1DY11_5_2"
"67",291,"1TT06",8,2,"2006-04-17 5:36","1TT06 8 2 60BON 1",4.73308,8.76495,2006,4,57.349,-164.24899,107,114.09073,66,"1TT06_57.349_-164.24899_2006-04-17 5:36_333",1,442,"4/17/2006",242629,"1TT06_8_2",-0.1826,31.7172363636364,"4/17/2006","1TT06_8_2"
"69",299,"1TT06",25,2,"2006-04-21 16:17","1TT06 25 2 60BON 1",99.54225,163.18402,2006,4,57.86967,-169.93716,111,128.68907,74,"1TT06_57.86967_-169.93716_2006-04-21 16:17_333",21,442,"4/21/2006",242629,"1TT06_25_2",-1.29652727272727,31.6877363636364,"4/21/2006","1TT06_25_2"
"71",322,"2DY10",18,3,"2010-05-08 4:13","2DY10 18 3 60BON 2",0,0,2010,5,54.32683,-165.41066,128,320.009,149,"2DY10_54.32683_-165.41066_2010-05-08 4:13_500",0,370,"5/8/2010",227957,"2DY10_18_3",3.73803636363636,32.1075181818182,"5/8/2010","2DY10_18_3"
"72",323,"2DY10",21,3,"2010-05-08 9:49","2DY10 21 3 60BON 2",0,0,2010,5,54.46183,-165.01616,128,130.31253,53,"2DY10_54.46183_-165.01616_2010-05-08 9:49_500",0,370,"5/8/2010",227957,"2DY10_21_3",3.14051818181818,31.8475272727273,"5/8/2010","2DY10_21_3"
"73",325,"2MF03",12,2,"2003-03-06 13:51","2MF03 12 2 60BON 1",0,0,2003,3,56.16767,-166.10201,65,141.21616,106,"2MF03_56.16767_-166.10201_2003-03-06 13:51_333",0,125,"3/6/2003",255366,"2MF03_12_2",4.28726,31.63888,"3/6/2003","2MF03_12_2"
